loan_int_rate,loan_amnt,loan_grade,debt_ratio,loan_intent,loan_percent_income,person_income,dataset,label
5.99,30000.0,A,,VENTURE,0.23,131000.0,credit_risk,0.0
11.58,12000.0,B,,VENTURE,0.04,275000.0,credit_risk,0.0
,10000.0,B,,EDUCATION,0.04,263000.0,credit_risk,1.0
15.7,25000.0,D,,MEDICAL,0.1,221850.0,credit_risk,1.0
15.99,29100.0,D,,EDUCATION,0.42,70000.0,credit_risk,1.0
14.84,1500.0,D,,EDUCATION,0.13,12000.0,credit_risk,0.0
10.99,28000.0,B,,HOMEIMPROVEMENT,0.11,260000.0,credit_risk,0.0
14.42,20000.0,D,,HOMEIMPROVEMENT,0.08,259000.0,credit_risk,0.0
6.99,9600.0,A,,EDUCATION,0.04,255000.0,credit_risk,0.0
13.49,25000.0,C,,MEDICAL,0.1,250000.0,credit_risk,0.0
,3000.0,C,,MEDICAL,0.25,12000.0,credit_risk,1.0
,28000.0,A,,MEDICAL,0.49,56950.0,credit_risk,1.0
13.61,3000.0,C,,EDUCATION,0.25,12000.0,credit_risk,1.0
7.9,28000.0,A,,EDUCATION,0.43,65000.0,credit_risk,1.0
7.49,28000.0,A,,VENTURE,0.33,85000.0,credit_risk,1.0
7.51,6100.0,A,,EDUCATION,0.51,12000.0,credit_risk,1.0
9.91,28000.0,B,,VENTURE,0.32,88000.0,credit_risk,1.0
13.48,4200.0,C,,PERSONAL,0.35,12000.0,credit_risk,1.0
7.14,4750.0,A,,DEBTCONSOLIDATION,0.4,12000.0,credit_risk,1.0
15.99,28000.0,D,,VENTURE,0.34,83004.0,credit_risk,1.0
12.98,18000.0,C,,EDUCATION,0.07,250000.0,credit_risk,0.0
13.57,4800.0,C,,VENTURE,0.02,250000.0,credit_risk,0.0
12.69,28000.0,B,,DEBTCONSOLIDATION,0.28,100000.0,credit_risk,0.0
8.9,28000.0,A,,EDUCATION,0.25,110000.0,credit_risk,0.0
,2700.0,A,,DEBTCONSOLIDATION,0.23,12000.0,credit_risk,1.0
,28000.0,B,,EDUCATION,0.26,108000.0,credit_risk,1.0
11.11,28000.0,B,,DEBTCONSOLIDATION,0.19,151200.0,credit_risk,0.0
,27600.0,A,,HOMEIMPROVEMENT,0.4,69000.0,credit_risk,1.0
15.68,3250.0,E,,DEBTCONSOLIDATION,0.27,12000.0,credit_risk,1.0
13.06,27500.0,C,,EDUCATION,0.39,70000.0,credit_risk,1.0
,25000.0,B,,PERSONAL,0.1,240000.0,credit_risk,0.0
15.62,27050.0,D,,VENTURE,0.37,73200.0,credit_risk,1.0
13.49,27000.0,C,,PERSONAL,0.33,83000.0,credit_risk,1.0
,27000.0,D,,VENTURE,0.37,73399.0,credit_risk,1.0
11.71,26000.0,B,,MEDICAL,0.42,62500.0,credit_risk,1.0
12.69,25600.0,B,,EDUCATION,0.21,120000.0,credit_risk,0.0
13.57,1600.0,C,,MEDICAL,0.13,12360.0,credit_risk,0.0
10.99,25475.0,B,,VENTURE,0.42,60000.0,credit_risk,1.0
14.27,20000.0,C,,MEDICAL,0.09,234000.0,credit_risk,0.0
8.88,20000.0,B,,HOMEIMPROVEMENT,0.09,234000.0,credit_risk,0.0
12.18,21600.0,B,,HOMEIMPROVEMENT,0.09,234000.0,credit_risk,0.0
14.42,11900.0,D,,DEBTCONSOLIDATION,0.05,221004.0,credit_risk,1.0
14.17,25000.0,C,,MEDICAL,0.11,232500.0,credit_risk,0.0
13.99,35000.0,C,,MEDICAL,0.15,230000.0,credit_risk,0.0
10.99,25300.0,B,,EDUCATION,0.3,83000.0,credit_risk,1.0
5.42,2000.0,A,,PERSONAL,0.16,12600.0,credit_risk,1.0
13.61,1750.0,C,,PERSONAL,0.14,12600.0,credit_risk,0.0
12.73,25000.0,C,,EDUCATION,0.59,42500.0,credit_risk,1.0
,25000.0,D,,HOMEIMPROVEMENT,0.61,41000.0,credit_risk,1.0
12.87,3000.0,C,,DEBTCONSOLIDATION,0.23,12816.0,credit_risk,1.0
9.91,3650.0,B,,HOMEIMPROVEMENT,0.28,12960.0,credit_risk,1.0
11.49,20000.0,B,,HOMEIMPROVEMENT,0.09,226000.0,credit_risk,0.0
19.91,30000.0,E,,HOMEIMPROVEMENT,0.13,225000.0,credit_risk,0.0
10.65,35000.0,B,,EDUCATION,0.16,213000.0,credit_risk,1.0
,6000.0,B,,MEDICAL,0.03,225000.0,credit_risk,0.0
11.83,4500.0,B,,DEBTCONSOLIDATION,0.35,12960.0,credit_risk,1.0
13.49,2400.0,C,,DEBTCONSOLIDATION,0.18,12996.0,credit_risk,1.0
14.59,25000.0,D,,MEDICAL,0.6,42000.0,credit_risk,1.0
9.64,25000.0,B,,EDUCATION,0.52,48000.0,credit_risk,1.0
14.59,3600.0,D,,MEDICAL,0.28,12996.0,credit_risk,1.0
,4750.0,B,,EDUCATION,0.37,12996.0,credit_risk,1.0
16.35,25000.0,E,,EDUCATION,0.59,42360.0,credit_risk,1.0
10.99,25000.0,B,,EDUCATION,0.51,49000.0,credit_risk,1.0
18.67,25000.0,F,,VENTURE,0.11,225000.0,credit_risk,0.0
9.32,3000.0,A,,EDUCATION,0.01,225000.0,credit_risk,0.0
8.63,7500.0,A,,DEBTCONSOLIDATION,0.03,225000.0,credit_risk,0.0
10.08,25000.0,B,,VENTURE,0.11,225000.0,credit_risk,0.0
11.83,25000.0,B,,PERSONAL,0.51,49464.0,credit_risk,1.0
7.9,25000.0,A,,DEBTCONSOLIDATION,0.5,50000.0,credit_risk,1.0
5.99,25000.0,A,,HOMEIMPROVEMENT,0.5,50000.0,credit_risk,1.0
15.33,25000.0,D,,DEBTCONSOLIDATION,0.57,44000.0,credit_risk,1.0
11.83,25000.0,B,,VENTURE,0.5,50000.0,credit_risk,1.0
10.36,25000.0,B,,VENTURE,0.5,50004.0,credit_risk,1.0
12.23,25000.0,C,,VENTURE,0.5,50004.0,credit_risk,1.0
11.11,25000.0,B,,EDUCATION,0.48,52000.0,credit_risk,1.0
7.9,4950.0,A,,DEBTCONSOLIDATION,0.38,13200.0,credit_risk,1.0
11.58,25000.0,B,,EDUCATION,0.11,220000.0,credit_risk,0.0
8.9,21000.0,A,,DEBTCONSOLIDATION,0.1,216000.0,credit_risk,0.0
16.07,25000.0,D,,EDUCATION,0.12,216000.0,credit_risk,0.0
14.22,20000.0,C,,EDUCATION,0.09,216000.0,credit_risk,0.0
14.79,35000.0,C,,MEDICAL,0.16,215000.0,credit_risk,0.0
7.88,12000.0,A,,EDUCATION,0.06,215000.0,credit_risk,0.0
13.22,25000.0,C,,PERSONAL,0.48,52000.0,credit_risk,1.0
11.86,25000.0,D,,DEBTCONSOLIDATION,0.54,46000.0,credit_risk,1.0
13.43,25000.0,C,,EDUCATION,0.47,53000.0,credit_risk,1.0
15.28,25000.0,D,,HOMEIMPROVEMENT,0.53,47000.0,credit_risk,1.0
17.93,25000.0,E,,VENTURE,0.53,47000.0,credit_risk,1.0
9.25,1400.0,B,,EDUCATION,0.11,13200.0,credit_risk,0.0
12.98,4500.0,C,,VENTURE,0.34,13200.0,credit_risk,1.0
10.62,16000.0,B,,VENTURE,0.08,210000.0,credit_risk,0.0
11.83,22000.0,B,,PERSONAL,0.1,210000.0,credit_risk,0.0
18.43,25000.0,F,,VENTURE,0.52,48000.0,credit_risk,1.0
,25000.0,B,,EDUCATION,0.45,54996.0,credit_risk,1.0
,25000.0,D,,HOMEIMPROVEMENT,0.45,55000.0,credit_risk,1.0
11.36,25000.0,B,,EDUCATION,0.45,55000.0,credit_risk,1.0
15.65,25000.0,D,,EDUCATION,0.45,55000.0,credit_risk,1.0
13.22,25000.0,C,,PERSONAL,0.45,55164.0,credit_risk,1.0
12.87,25000.0,C,,DEBTCONSOLIDATION,0.45,56000.0,credit_risk,1.0
13.04,20000.0,C,,MEDICAL,0.1,203500.0,credit_risk,0.0
17.58,22000.0,F,,EDUCATION,0.12,190000.0,credit_risk,1.0
17.04,7750.0,E,,PERSONAL,0.56,13920.0,credit_risk,1.0
10.99,25000.0,B,,PERSONAL,0.42,60000.0,credit_risk,1.0
11.11,25000.0,B,,PERSONAL,0.42,60000.0,credit_risk,1.0
14.83,25000.0,D,,DEBTCONSOLIDATION,0.46,54000.0,credit_risk,1.0
,4000.0,D,,DEBTCONSOLIDATION,0.29,14000.0,credit_risk,1.0
12.69,12000.0,B,,MEDICAL,0.06,200000.0,credit_risk,0.0
13.49,12000.0,C,,HOMEIMPROVEMENT,0.06,200000.0,credit_risk,0.0
14.65,16000.0,C,,EDUCATION,0.08,200000.0,credit_risk,0.0
16.82,25000.0,E,,HOMEIMPROVEMENT,0.46,54000.0,credit_risk,1.0
12.73,25000.0,C,,PERSONAL,0.42,60000.0,credit_risk,1.0
10.25,25000.0,B,,PERSONAL,0.42,60000.0,credit_risk,1.0
10.99,25000.0,B,,EDUCATION,0.42,60000.0,credit_risk,1.0
12.73,25000.0,C,,MEDICAL,0.4,61959.0,credit_risk,1.0
14.96,25000.0,D,,HOMEIMPROVEMENT,0.44,56400.0,credit_risk,1.0
,28000.0,A,,EDUCATION,0.14,200000.0,credit_risk,0.0
13.99,25000.0,C,,DEBTCONSOLIDATION,0.13,200000.0,credit_risk,0.0
7.49,24000.0,A,,VENTURE,0.12,200000.0,credit_risk,0.0
14.79,15000.0,C,,EDUCATION,0.07,200000.0,credit_risk,0.0
11.99,15500.0,B,,DEBTCONSOLIDATION,0.08,200000.0,credit_risk,0.0
8.49,10000.0,A,,EDUCATION,0.05,200000.0,credit_risk,0.0
9.91,25000.0,B,,EDUCATION,0.38,66000.0,credit_risk,1.0
13.06,25000.0,C,,EDUCATION,0.38,66000.0,credit_risk,1.0
6.17,9000.0,A,,DEBTCONSOLIDATION,0.04,200000.0,credit_risk,0.0
11.86,6000.0,B,,EDUCATION,0.03,200000.0,credit_risk,0.0
16.32,18000.0,D,,EDUCATION,0.09,200000.0,credit_risk,0.0
10.38,12000.0,B,,VENTURE,0.06,200000.0,credit_risk,0.0
14.35,23050.0,C,,PERSONAL,0.12,200000.0,credit_risk,0.0
,20000.0,B,,DEBTCONSOLIDATION,0.1,200000.0,credit_risk,0.0
,25000.0,E,,DEBTCONSOLIDATION,0.42,60000.0,credit_risk,1.0
,3000.0,B,,HOMEIMPROVEMENT,0.21,14400.0,credit_risk,1.0
15.21,25000.0,D,,PERSONAL,0.37,66996.0,credit_risk,1.0
7.9,25000.0,A,,EDUCATION,0.37,67000.0,credit_risk,1.0
10.99,25000.0,B,,VENTURE,0.37,67000.0,credit_risk,1.0
14.09,25000.0,D,,PERSONAL,0.37,68000.0,credit_risk,1.0
17.49,25000.0,D,,PERSONAL,0.36,69000.0,credit_risk,1.0
11.48,12000.0,B,,EDUCATION,0.06,200000.0,credit_risk,0.0
17.74,20000.0,E,,VENTURE,0.11,188000.0,credit_risk,1.0
13.92,3000.0,C,,PERSONAL,0.01,200000.0,credit_risk,0.0
15.21,25000.0,D,,EDUCATION,0.36,69996.0,credit_risk,1.0
10.99,4000.0,B,,MEDICAL,0.28,14400.0,credit_risk,1.0
11.86,25000.0,B,,EDUCATION,0.36,70000.0,credit_risk,1.0
7.49,6000.0,A,,PERSONAL,0.42,14400.0,credit_risk,1.0
16.49,25000.0,D,,MEDICAL,0.38,56100.0,credit_risk,1.0
15.33,25000.0,D,,VENTURE,0.38,66000.0,credit_risk,1.0
11.58,25000.0,B,,HOMEIMPROVEMENT,0.38,66000.0,credit_risk,1.0
5.79,5375.0,A,,EDUCATION,0.37,14400.0,credit_risk,1.0
13.11,25000.0,C,,MEDICAL,0.34,72612.0,credit_risk,1.0
10.36,25000.0,B,,MEDICAL,0.34,74000.0,credit_risk,1.0
10.36,25000.0,B,,DEBTCONSOLIDATION,0.33,75000.0,credit_risk,1.0
,22000.0,C,,MEDICAL,0.11,192000.0,credit_risk,0.0
6.54,20000.0,A,,VENTURE,0.1,192000.0,credit_risk,0.0
12.53,10000.0,B,,MEDICAL,0.05,191000.0,credit_risk,0.0
,15000.0,A,,PERSONAL,0.08,190300.0,credit_risk,0.0
,10000.0,C,,VENTURE,0.05,190000.0,credit_risk,0.0
10.25,25000.0,B,,EDUCATION,0.33,75000.0,credit_risk,1.0
15.95,25000.0,D,,EDUCATION,0.35,71000.0,credit_risk,1.0
12.18,20000.0,B,,VENTURE,0.11,190000.0,credit_risk,0.0
11.83,24000.0,B,,PERSONAL,0.13,189996.0,credit_risk,0.0
,25000.0,C,,DEBTCONSOLIDATION,0.32,78000.0,credit_risk,1.0
10.62,25000.0,B,,VENTURE,0.32,78000.0,credit_risk,1.0
10.74,25000.0,B,,VENTURE,0.32,78504.0,credit_risk,1.0
10.25,10000.0,B,,VENTURE,0.05,186000.0,credit_risk,0.0
12.42,35000.0,B,,EDUCATION,0.19,185000.0,credit_risk,0.0
15.27,15000.0,C,,VENTURE,0.08,185000.0,credit_risk,0.0
15.33,25000.0,D,,MEDICAL,0.34,62050.0,credit_risk,1.0
15.21,25000.0,D,,VENTURE,0.31,79416.0,credit_risk,1.0
14.72,6250.0,C,,VENTURE,0.43,14400.0,credit_risk,1.0
15.7,25000.0,D,,PERSONAL,0.31,79631.0,credit_risk,1.0
13.35,25000.0,C,,EDUCATION,0.31,79632.0,credit_risk,1.0
,1500.0,C,,MEDICAL,0.1,14400.0,credit_risk,0.0
6.62,25000.0,A,,EDUCATION,0.31,80000.0,credit_risk,1.0
13.61,25000.0,C,,DEBTCONSOLIDATION,0.31,80000.0,credit_risk,1.0
11.36,25000.0,B,,MEDICAL,0.14,185000.0,credit_risk,0.0
7.68,5000.0,A,,PERSONAL,0.03,185000.0,credit_risk,0.0
14.46,22000.0,D,,HOMEIMPROVEMENT,0.12,184992.0,credit_risk,0.0
11.83,2500.0,B,,EDUCATION,0.01,184000.0,credit_risk,0.0
13.47,20000.0,C,,DEBTCONSOLIDATION,0.12,172000.0,credit_risk,1.0
11.49,20000.0,B,,MEDICAL,0.11,183000.0,credit_risk,0.0
,1000.0,A,,EDUCATION,0.01,183000.0,credit_risk,0.0
6.03,15000.0,A,,PERSONAL,0.08,182952.0,credit_risk,0.0
16.35,25000.0,E,,DEBTCONSOLIDATION,0.34,74004.0,credit_risk,1.0
,25000.0,D,,DEBTCONSOLIDATION,0.34,74004.0,credit_risk,1.0
7.29,25000.0,A,,DEBTCONSOLIDATION,0.31,81000.0,credit_risk,1.0
11.36,25000.0,B,,MEDICAL,0.31,81600.0,credit_risk,1.0
10.25,25000.0,B,,VENTURE,0.3,82000.0,credit_risk,0.0
11.12,25000.0,B,,EDUCATION,0.3,83000.0,credit_risk,0.0
12.92,25000.0,D,,PERSONAL,0.3,83000.0,credit_risk,0.0
18.64,18000.0,E,,EDUCATION,0.1,180000.0,credit_risk,0.0
7.51,28000.0,A,,PERSONAL,0.16,180000.0,credit_risk,0.0
16.7,4000.0,E,,HOMEIMPROVEMENT,0.28,14400.0,credit_risk,1.0
11.14,2100.0,B,,PERSONAL,0.15,14400.0,credit_risk,0.0
18.3,25000.0,F,,PERSONAL,0.3,84500.0,credit_risk,0.0
10.62,25000.0,B,,MEDICAL,0.29,85000.0,credit_risk,0.0
11.99,14000.0,B,,VENTURE,0.08,180000.0,credit_risk,0.0
9.63,12000.0,B,,VENTURE,0.07,180000.0,credit_risk,0.0
18.25,10000.0,F,,MEDICAL,0.06,142800.0,credit_risk,1.0
,6000.0,C,,DEBTCONSOLIDATION,0.41,14664.0,credit_risk,1.0
14.84,25000.0,D,,HOMEIMPROVEMENT,0.29,87000.0,credit_risk,0.0
14.7,25000.0,E,,VENTURE,0.33,75000.0,credit_risk,1.0
16.02,25000.0,D,,DEBTCONSOLIDATION,0.33,76000.0,credit_risk,1.0
15.37,25000.0,D,,MEDICAL,0.32,66215.0,credit_risk,1.0
10.99,25000.0,B,,MEDICAL,0.28,90000.0,credit_risk,0.0
7.9,6200.0,A,,HOMEIMPROVEMENT,0.41,15000.0,credit_risk,1.0
10.99,25000.0,B,,PERSONAL,0.14,180000.0,credit_risk,0.0
11.48,21000.0,B,,EDUCATION,0.12,180000.0,credit_risk,0.0
14.26,20000.0,C,,MEDICAL,0.11,180000.0,credit_risk,0.0
8.0,10000.0,A,,HOMEIMPROVEMENT,0.06,180000.0,credit_risk,0.0
11.26,9950.0,B,,VENTURE,0.06,180000.0,credit_risk,0.0
,4475.0,B,,MEDICAL,0.3,15000.0,credit_risk,1.0
16.32,25000.0,D,,VENTURE,0.32,78000.0,credit_risk,1.0
17.93,25000.0,E,,MEDICAL,0.32,66300.0,credit_risk,1.0
11.36,25000.0,B,,DEBTCONSOLIDATION,0.28,90000.0,credit_risk,0.0
14.96,25000.0,D,,DEBTCONSOLIDATION,0.32,79000.0,credit_risk,1.0
13.43,25000.0,C,,PERSONAL,0.27,91800.0,credit_risk,0.0
12.69,25000.0,B,,HOMEIMPROVEMENT,0.27,92000.0,credit_risk,0.0
12.73,25000.0,C,,VENTURE,0.27,92000.0,credit_risk,0.0
15.21,25000.0,D,,VENTURE,0.27,93600.0,credit_risk,0.0
12.68,1750.0,C,,MEDICAL,0.12,15000.0,credit_risk,0.0
19.04,25000.0,F,,MEDICAL,0.3,70550.0,credit_risk,1.0
15.95,25000.0,D,,DEBTCONSOLIDATION,0.3,83800.0,credit_risk,1.0
8.9,2600.0,A,,VENTURE,0.01,175000.0,credit_risk,0.0
7.9,8000.0,A,,HOMEIMPROVEMENT,0.05,175000.0,credit_risk,0.0
,18000.0,B,,EDUCATION,0.1,175000.0,credit_risk,0.0
11.99,21000.0,B,,PERSONAL,0.12,175000.0,credit_risk,0.0
13.98,4000.0,C,,DEBTCONSOLIDATION,0.27,15000.0,credit_risk,1.0
10.99,4600.0,B,,VENTURE,0.31,15000.0,credit_risk,1.0
15.58,25000.0,D,,DEBTCONSOLIDATION,0.28,88000.0,credit_risk,1.0
10.99,25000.0,B,,MEDICAL,0.28,74800.0,credit_risk,1.0
14.96,25000.0,D,,VENTURE,0.28,88000.0,credit_risk,1.0
15.31,1750.0,D,,HOMEIMPROVEMENT,0.12,15000.0,credit_risk,0.0
15.65,25000.0,D,,VENTURE,0.28,88000.0,credit_risk,1.0
9.33,25000.0,B,,VENTURE,0.25,100000.0,credit_risk,0.0
13.47,3600.0,C,,PERSONAL,0.24,15000.0,credit_risk,1.0
10.36,25000.0,B,,PERSONAL,0.24,102400.0,credit_risk,0.0
16.77,25000.0,E,,HOMEIMPROVEMENT,0.27,92000.0,credit_risk,1.0
14.59,25000.0,D,,DEBTCONSOLIDATION,0.27,93000.0,credit_risk,1.0
11.91,3500.0,C,,VENTURE,0.02,175000.0,credit_risk,0.0
8.38,7200.0,A,,EDUCATION,0.04,175000.0,credit_risk,0.0
10.59,9000.0,B,,VENTURE,0.05,174708.0,credit_risk,0.0
14.27,8800.0,C,,DEBTCONSOLIDATION,0.05,174000.0,credit_risk,0.0
12.53,12000.0,B,,DEBTCONSOLIDATION,0.07,174000.0,credit_risk,0.0
16.0,25000.0,E,,DEBTCONSOLIDATION,0.15,162000.0,credit_risk,1.0
11.71,10000.0,B,,VENTURE,0.06,173467.0,credit_risk,0.0
11.54,3175.0,C,,HOMEIMPROVEMENT,0.21,15000.0,credit_risk,1.0
15.68,25000.0,E,,HOMEIMPROVEMENT,0.26,96000.0,credit_risk,1.0
10.59,1500.0,B,,EDUCATION,0.1,15120.0,credit_risk,0.0
12.61,25000.0,D,,HOMEIMPROVEMENT,0.26,97908.0,credit_risk,1.0
,25000.0,C,,PERSONAL,0.23,110000.0,credit_risk,0.0
8.49,2800.0,A,,PERSONAL,0.18,15204.0,credit_risk,1.0
17.27,30000.0,D,,PERSONAL,0.19,159600.0,credit_risk,1.0
8.9,18000.0,A,,DEBTCONSOLIDATION,0.1,171500.0,credit_risk,0.0
11.11,10000.0,B,,MEDICAL,0.06,170004.0,credit_risk,0.0
14.59,25000.0,D,,HOMEIMPROVEMENT,0.16,158004.0,credit_risk,1.0
12.42,13000.0,B,,VENTURE,0.08,170000.0,credit_risk,0.0
,25000.0,D,,MEDICAL,0.26,83300.0,credit_risk,1.0
15.7,25000.0,D,,HOMEIMPROVEMENT,0.23,110000.0,credit_risk,0.0
12.53,2500.0,B,,HOMEIMPROVEMENT,0.16,15360.0,credit_risk,1.0
16.49,5000.0,D,,MEDICAL,0.03,134300.0,credit_risk,1.0
7.49,20000.0,A,,EDUCATION,0.12,170000.0,credit_risk,0.0
14.96,25000.0,D,,DEBTCONSOLIDATION,0.25,100580.0,credit_risk,1.0
12.73,25000.0,C,,MEDICAL,0.22,113000.0,credit_risk,0.0
10.65,25000.0,B,,EDUCATION,0.21,120000.0,credit_risk,0.0
10.74,25000.0,B,,MEDICAL,0.21,120000.0,credit_risk,0.0
9.99,25000.0,B,,EDUCATION,0.21,120000.0,credit_risk,0.0
15.33,25000.0,D,,MEDICAL,0.23,91800.0,credit_risk,1.0
7.29,1000.0,A,,VENTURE,0.06,15600.0,credit_risk,0.0
15.05,25000.0,D,,PERSONAL,0.23,108000.0,credit_risk,1.0
10.75,25000.0,B,,PERSONAL,0.19,129996.0,credit_risk,0.0
16.02,25000.0,D,,EDUCATION,0.19,130000.0,credit_risk,0.0
11.49,25000.0,B,,VENTURE,0.19,130000.0,credit_risk,0.0
12.53,20000.0,B,,EDUCATION,0.12,170000.0,credit_risk,0.0
13.57,12000.0,C,,VENTURE,0.07,170000.0,credit_risk,0.0
11.14,14000.0,B,,PERSONAL,0.08,169000.0,credit_risk,0.0
12.87,24250.0,C,,MEDICAL,0.14,168750.0,credit_risk,0.0
11.58,20000.0,B,,EDUCATION,0.12,168600.0,credit_risk,0.0
11.12,1800.0,B,,HOMEIMPROVEMENT,0.01,168288.0,credit_risk,0.0
10.65,35000.0,B,,PERSONAL,0.21,168000.0,credit_risk,0.0
10.37,25000.0,B,,DEBTCONSOLIDATION,0.19,133300.0,credit_risk,0.0
6.39,3300.0,A,,HOMEIMPROVEMENT,0.21,15600.0,credit_risk,1.0
16.07,25000.0,D,,PERSONAL,0.19,134000.0,credit_risk,0.0
10.62,25000.0,B,,MEDICAL,0.19,134000.0,credit_risk,0.0
18.09,3200.0,F,,VENTURE,0.21,15600.0,credit_risk,1.0
11.36,25000.0,B,,EDUCATION,0.19,135000.0,credit_risk,0.0
12.53,25000.0,B,,DEBTCONSOLIDATION,0.18,135660.0,credit_risk,0.0
9.99,25000.0,B,,EDUCATION,0.17,145000.0,credit_risk,0.0
10.36,25000.0,B,,EDUCATION,0.17,150000.0,credit_risk,0.0
5.99,9600.0,A,,EDUCATION,0.06,165000.0,credit_risk,0.0
15.62,24000.0,D,,DEBTCONSOLIDATION,0.16,153000.0,credit_risk,1.0
10.37,20000.0,B,,PERSONAL,0.12,165000.0,credit_risk,0.0
19.74,25000.0,F,,HOMEIMPROVEMENT,0.15,165000.0,credit_risk,0.0
6.91,20000.0,A,,EDUCATION,0.12,165000.0,credit_risk,0.0
7.9,6000.0,A,,MEDICAL,0.38,16000.0,credit_risk,1.0
